Trained_On,Evaluated_On,Accuracy,Class,Precision,Recall,F1-Score
combined_cars_sd2.1__cars_real-fewshot,cars_dd-fewshot__cars_real-fewshot,0.8010,0,0.1146,0.9851,0.2053
combined_cars_sd2.1__cars_real-fewshot,cars_dd-fewshot__cars_real-fewshot,0.8010,1,0.9995,0.7961,0.8863
combined_cars_sd2.1__cars_real-fewshot,cars_sd2.1__cars_real-fewshot,0.9919,0,0.8167,0.9851,0.8930
combined_cars_sd2.1__cars_real-fewshot,cars_sd2.1__cars_real-fewshot,0.9919,1,0.9995,0.9921,0.9958
combined_cars_sd2.1__cars_real-fewshot,pets_sd2.1__pets_real-fewshot,0.6589,0,0.0559,0.7107,0.1037
combined_cars_sd2.1__cars_real-fewshot,pets_sd2.1__pets_real-fewshot,0.6589,1,0.9876,0.6575,0.7894
combined_cars_sd2.1__cars_real-fewshot,pets_dd-fewshot__pets_real-fewshot,0.7224,0,0.0877,0.7107,0.1561
combined_cars_sd2.1__cars_real-fewshot,pets_dd-fewshot__pets_real-fewshot,0.7224,1,0.9852,0.7228,0.8339
combined_pets_sd2.1__pets_real-fewshot,cars_dd-fewshot__cars_real-fewshot,0.0715,0,0.0269,0.9851,0.0524
combined_pets_sd2.1__pets_real-fewshot,cars_dd-fewshot__cars_real-fewshot,0.0715,1,0.9916,0.0470,0.0898
combined_pets_sd2.1__pets_real-fewshot,cars_sd2.1__cars_real-fewshot,0.1299,0,0.0376,0.9851,0.0724
combined_pets_sd2.1__pets_real-fewshot,cars_sd2.1__cars_real-fewshot,0.1299,1,0.9947,0.0994,0.1808
combined_pets_sd2.1__pets_real-fewshot,pets_sd2.1__pets_real-fewshot,0.6257,0,0.0661,0.9504,0.1235
combined_pets_sd2.1__pets_real-fewshot,pets_sd2.1__pets_real-fewshot,0.6257,1,0.9977,0.6164,0.7620
combined_pets_sd2.1__pets_real-fewshot,pets_dd-fewshot__pets_real-fewshot,0.3355,0,0.0493,0.9504,0.0936
combined_pets_sd2.1__pets_real-fewshot,pets_dd-fewshot__pets_real-fewshot,0.3355,1,0.9941,0.3125,0.4755
combined_cars_sd2.1__pets_sd2.1__cars_real-fewshot__pets_real-fewshot,cars_dd-fewshot__cars_real-fewshot,0.9186,0,0.2365,0.9505,0.3787
combined_cars_sd2.1__pets_sd2.1__cars_real-fewshot__pets_real-fewshot,cars_dd-fewshot__cars_real-fewshot,0.9186,1,0.9986,0.9178,0.9565
combined_cars_sd2.1__pets_sd2.1__cars_real-fewshot__pets_real-fewshot,cars_sd2.1__cars_real-fewshot,0.9959,0,0.9305,0.9505,0.9404
combined_cars_sd2.1__pets_sd2.1__cars_real-fewshot__pets_real-fewshot,cars_sd2.1__cars_real-fewshot,0.9959,1,0.9982,0.9975,0.9979
combined_cars_sd2.1__pets_sd2.1__cars_real-fewshot__pets_real-fewshot,pets_sd2.1__pets_real-fewshot,0.8663,0,0.1583,0.8843,0.2685
combined_cars_sd2.1__pets_sd2.1__cars_real-fewshot__pets_real-fewshot,pets_sd2.1__pets_real-fewshot,0.8663,1,0.9962,0.8658,0.9264
combined_cars_sd2.1__pets_sd2.1__cars_real-fewshot__pets_real-fewshot,pets_dd-fewshot__pets_real-fewshot,0.7149,0,0.1021,0.8843,0.1831
combined_cars_sd2.1__pets_sd2.1__cars_real-fewshot__pets_real-fewshot,pets_dd-fewshot__pets_real-fewshot,0.7149,1,0.9939,0.7086,0.8273
